TIME_PERIOD,variable,value,Country,Frequency
2015-07-01,PCPI_IX,106.700762829404,KW,M
2015-08-01,PCPI_IX,107.011165048544,KW,M
2015-09-01,PCPI_IX,107.166366158114,KW,M
2015-10-01,PCPI_IX,107.243966712899,KW,M
2015-11-01,PCPI_IX,107.321567267684,KW,M
2015-12-01,PCPI_IX,108.252773925104,KW,M
2016-01-01,PCPI_IX,108.407975034674,KW,M
2016-02-01,PCPI_IX,108.407975034674,KW,M
2016-03-01,PCPI_IX,109.183980582524,KW,M
2016-04-01,PCPI_IX,109.106380027739,KW,M
2016-05-01,PCPI_IX,109.106380027739,KW,M
2016-06-01,PCPI_IX,109.882385575589,KW,M
2016-07-01,PCPI_IX,109.959986130375,KW,M
2016-08-01,PCPI_IX,110.115187239945,KW,M
2016-09-01,PCPI_IX,111.201595006935,KW,M
2016-10-01,PCPI_IX,111.12399445215,KW,M
2016-11-01,PCPI_IX,110.96879334258,KW,M
2016-12-01,PCPI_IX,112.05520110957,KW,M
2017-01-01,PCPI_IX,111.977600554785,KW,M
2017-02-01,PCPI_IX,111.9,KW,M
2017-03-01,PCPI_IX,111.7,KW,M
2017-04-01,PCPI_IX,111.7,KW,M
2017-05-01,PCPI_IX,112.2,KW,M
2017-06-01,PCPI_IX,112.3,KW,M
2017-07-01,PCPI_IX,112.2,KW,M
2017-08-01,PCPI_IX,112.2,KW,M
2017-09-01,PCPI_IX,112.8,KW,M
2017-10-01,PCPI_IX,113.1,KW,M
2017-11-01,PCPI_IX,113.1,KW,M
2017-12-01,PCPI_IX,113,KW,M
2018-01-01,PCPI_IX,112.9,KW,M
2018-02-01,PCPI_IX,112.8,KW,M
2018-03-01,PCPI_IX,112.4,KW,M
2018-04-01,PCPI_IX,112.5,KW,M
2018-05-01,PCPI_IX,112.6,KW,M
2018-06-01,PCPI_IX,112.9,KW,M
2018-07-01,PCPI_IX,113.1,KW,M
2018-08-01,PCPI_IX,113.2,KW,M
2018-09-01,PCPI_IX,113.1,KW,M
2018-10-01,PCPI_IX,113.3,KW,M
2018-11-01,PCPI_IX,113.2,KW,M
2018-12-01,PCPI_IX,113.5,KW,M
2019-01-01,PCPI_IX,113.4,KW,M
2019-02-01,PCPI_IX,113.5,KW,M
2019-03-01,PCPI_IX,113.3,KW,M
2019-04-01,PCPI_IX,113.3,KW,M
2019-05-01,PCPI_IX,113.5,KW,M
2019-06-01,PCPI_IX,114.1,KW,M
2019-07-01,PCPI_IX,114.4,KW,M
2019-08-01,PCPI_IX,114.6,KW,M
2019-09-01,PCPI_IX,115,KW,M
2019-10-01,PCPI_IX,115,KW,M
2019-11-01,PCPI_IX,115,KW,M
2019-12-01,PCPI_IX,115.2,KW,M
2020-01-01,PCPI_IX,115.3,KW,M
2020-02-01,PCPI_IX,115.4,KW,M
2020-03-01,PCPI_IX,115.5,KW,M
2020-04-01,PCPI_IX,115.4,KW,M
2020-05-01,PCPI_IX,115.7,KW,M
2020-06-01,PCPI_IX,116.1,KW,M
2020-07-01,PCPI_IX,116.6,KW,M
2020-08-01,PCPI_IX,117.1,KW,M
2020-09-01,PCPI_IX,117.3,KW,M
2020-10-01,PCPI_IX,117.9,KW,M
2020-11-01,PCPI_IX,118.2,KW,M
2020-12-01,PCPI_IX,118.6,KW,M
2021-01-01,PCPI_IX,118.7,KW,M
2021-02-01,PCPI_IX,118.9,KW,M
2021-03-01,PCPI_IX,119.2,KW,M
2021-04-01,PCPI_IX,119,KW,M
2021-05-01,PCPI_IX,119.4,KW,M
2021-06-01,PCPI_IX,120,KW,M
2021-07-01,PCPI_IX,120.3,KW,M
2021-08-01,PCPI_IX,120.5,KW,M
2021-09-01,PCPI_IX,122.1,KW,M
2021-10-01,PCPI_IX,122.4,KW,M
2021-11-01,PCPI_IX,122.8,KW,M
2021-12-01,PCPI_IX,123.7,KW,M
2022-01-01,PCPI_IX,123.8,KW,M
2022-02-01,PCPI_IX,124.1,KW,M
